Country,Are religiously affiliated,Say there is definitely/probably life after death,Say that parts of nature can have spirits or spiritual energies,Say they pray at least daily,"Say they consult a fortune teller, horoscope or other way to see the future"
Argentina,76,65,65,39,14
Australia,48,49,48,16,11
Bangladesh,100,77,38,75,11
Brazil,84,66,58,76,10
Canada,57,56,47,30,10
Chile,66,67,74,41,14
Colombia,77,67,70,71,11
France,53,55,52,18,13
Germany,57,50,49,16,7
Ghana,98,74,87,73,16
Greece,86,56,48,37,4
Hungary,79,45,45,11,17
India,99,43,79,71,45
Indonesia,100,85,57,95,7
Israel,99,61,28,34,14
Italy,77,56,57,35,9
Japan,44,47,56,21,19
Kenya,99,80,44,84,23
Malaysia,98,74,56,80,10
Mexico,79,69,64,44,12
Netherlands,46,51,39,20,9
Nigeria,99,71,63,84,20
Peru,88,68,65,58,16
Philippines,99,78,73,79,22
Poland,95,64,29,18,10
Singapore,78,68,62,45,19
South Africa,86,59,74,63,47
South Korea,51,52,36,25,20
Spain,56,47,37,22,11
Sri Lanka,100,67,63,72,20
Sweden,47,38,32,8,7
Thailand,100,50,73,31,29
Tunisia,100,,,,
Turkey,95,84,65,63,7
U.S.,69,70,48,44,9
UK,54,53,42,21,8
